Kriitikko,Elokuvan nimi,Tähtiä,Linkki,Julkaisia
Pekka Eronen,"Heinähattu, Vilttitossu ja ärhäkkä koululainen",4,Aamulehti 14.2.2020,Aamulehti
Päivi Valotie,"Heinähattu, Vilttitossu ja ärhäkkä koululainen",3,Turun Sanomat 14.2.2020,Turun Sanomat
Krister Uggeldahl,"Heinähattu, Vilttitossu ja ärhäkkä koululainen",3,Hufvudstadsbladet 14.2.2020,Hufvudstadsbladet
Niko Ikonen,"Heinähattu, Vilttitossu ja ärhäkkä koululainen",3,https://www.episodi.fi/elokuvat/heinahattu-vilttitossu-ja-arhakka-koululainen/,Episodi
Risto Ojanen,"Heinähattu, Vilttitossu ja ärhäkkä koululainen",4,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/uusin-heinahattu-ja-vilttitossu-on-alkuperaistarinan-henkea-noudattava-hauskisversio-koulunkaynnista/,Kulttuuritoimitus.fi
Hannu Björkbacka,"Heinähattu, Vilttitossu ja ärhäkkä koululainen",2,Keskipohjanmaa 21.2.2020,Keskipohjanmaa
Juho Typpö,Color Out of Space,3,Helsingin Sanomat 14.2.2020,Helsingin Sanomat
Kari Salminen,Color Out of Space,4,Turun Sanomat 14.2.2020,Turun Sanomat
T R,Color Out of Space,4,Seiska 7/2020,Seiska
Martina Moliis-Mellberg,Color Out of Space,3,Hufvudstadsbladet 14.2.2020,Hufvudstadsbladet
Jouni Vikman,Color Out of Space,4,https://www.episodi.fi/elokuvat/color-out-of-space/,Episodi
Kaarina Lehtisalo,Color Out of Space,1.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/kulttiohjaaja-richard-stanley-tarttui-kulttikirjailija-h-p-lovecraftin-novelliin-ja-kuinka-siina-kavikaan/,Kulttuuritoimitus.fi
Tuukka Hämäläinen,Color Out of Space,3.5,https://muropaketti.com/elokuvat/arvostelu-nicolas-cagen-tahdittama-color-out-of-space-on-pieni-ihme-se-on-nimittain-oikeasti-hyva-h-p-lovecraft-filmatisointi/,Muropaketti
Niko Ikonen,Color Out of Space,4,Episodi 2/2020,Episodi
Maria Lättilä,Color Out of Space,4,Episodi 2/2020,Episodi
Martina Moliis-Mellberg,The Truth,4,Hufvudstadsbladet 3.1.2020,Hufvudstadsbladet
Pertti Avola,The Truth,3,Helsingin Sanomat 3.1.2020,Helsingin Sanomat
Jussi U. Pellonpää,The Truth,3,Forssan Lehti 17.1.2020,Forssan Lehti
Riitta Lehtimäki,The Truth,5,Eeva 1/2020,Eeva
Kari Salminen,The Truth,3,Turun Sanomat 3.1.2020,Turun Sanomat
Niko Ikonen,The Truth,3,https://www.episodi.fi/elokuvat/fabiennen-muistelmat/,Episodi
